2018-12-13 11:36:16,289 [INFO ][org.jppf.utils.FileUtils.initJPPFTempDir(547)]: JPPF temp folder /tmp/.jppf
2018-12-13 11:36:17,000 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(80)]: --------------------------------------------------------------------------------
2018-12-13 11:36:17,008 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(81)]: JPPF Version: 5.2.8, Build number: 1910, Build date: 2017-08-10 06:14 CEST
2018-12-13 11:36:17,009 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(82)]: starting driver with PID=3008, UUID=EACDCD4D-E97B-30B1-4178-3F54250CA4C9
2018-12-13 11:36:17,009 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(83)]: --------------------------------------------------------------------------------
2018-12-13 11:36:17,443 [INFO ][org.jppf.nio.NioConstants.getCheckConnection(81)]: NIO checks are enabled
2018-12-13 11:59:16,894 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=12, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=12], state=WAITING_JOB, uuid=BC4A8C73-7F30-1CE6-639D-BEE6D38AF142, connectionUuid=BC4A8C73-7F30-1CE6-639D-BEE6D38AF142_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 11:59:16,894 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=16, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=16], state=WAITING_JOB, uuid=2D8018FC-CD52-1088-662F-6242CB7E3395, connectionUuid=2D8018FC-CD52-1088-662F-6242CB7E3395_2, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:03:36,319 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=20, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=20], state=WAITING_JOB, uuid=7389765A-56A1-AE75-6DAA-00BEE1FD2252, connectionUuid=7389765A-56A1-AE75-6DAA-00BEE1FD2252_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:06:14,678 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=24, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=24], state=WAITING_JOB, uuid=05EA0CA3-DA39-2D14-D640-733646E17060, connectionUuid=05EA0CA3-DA39-2D14-D640-733646E17060_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:06:47,355 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=28, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=28], state=WAITING_JOB, uuid=7F1E375D-E363-5E69-22AC-88FA69D201AE, connectionUuid=7F1E375D-E363-5E69-22AC-88FA69D201AE_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:07:12,828 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=32, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=32], state=WAITING_JOB, uuid=175259D3-E6BB-84CD-8C81-0ADFB8F0A26A, connectionUuid=175259D3-E6BB-84CD-8C81-0ADFB8F0A26A_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:46:17,375 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=36, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=36], state=WAITING_JOB, uuid=77CA5184-41F2-72B6-470B-F1E0BFD19373, connectionUuid=77CA5184-41F2-72B6-470B-F1E0BFD19373_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:47:26,404 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=40, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=40], state=WAITING_JOB, uuid=FA1757A6-F28C-475B-22CB-358614C7BB19, connectionUuid=FA1757A6-F28C-475B-22CB-358614C7BB19_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:52:18,901 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=44, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=44], state=WAITING_JOB, uuid=DD0E2742-AE36-9516-A90F-9479D158126E, connectionUuid=DD0E2742-AE36-9516-A90F-9479D158126E_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 12:56:03,228 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=48, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=48], state=WAITING_JOB, uuid=E1D27418-066D-B748-42C6-118A374B82DC, connectionUuid=E1D27418-066D-B748-42C6-118A374B82DC_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:05:48,133 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=52, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=52], state=WAITING_JOB, uuid=44F73E1A-7DCC-9D38-BE7D-61331B7DEB62, connectionUuid=44F73E1A-7DCC-9D38-BE7D-61331B7DEB62_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
